FlyBase ID,Symbol,baseMean,log2FoldChange,Unnamed: 4,lfcSE,stat,pvalue,padj
FBgn0030880,CG6788,175.577086862733,-4.20928289177883,0.054060441645954,0.190308145687322,-22.1182486780925,2.109999999999999e-108,2.8599999999999993e-104
FBgn0033050,Pngl,310.961377838979,-2.59649394723689,0.165339811560356,0.14263680500859502,-18.2035341234714,4.839999999999999e-74,2.1899999999999998e-70
FBgn0052475,mthl8,30.911889097640003,-2.2043126194540497,0.21698803238820397,0.21185329975938802,-10.4049010421721,2.36e-25,1.1e-22
FBgn0036777,CG7341,106.48551812062999,-2.0921706341215502,0.234527558840824,0.18507094468168103,-11.304695276290099,1.24e-29,8.89e-27
FBgn0050008,CG30008,3520.20870125606,-1.9950862970413,0.25085293152145,0.102196070174959,-19.5221430102521,7.12e-85,4.829999999999999e-81
FBgn0262854,CG43218,140.86098291262,-1.9357259333242398,0.261389676151156,0.17789801014571302,-10.881099410492101,1.4199999999999998e-27,8.02e-25
FBgn0037323,CG2663,470.56384698307505,-1.8144367699637902,0.284315218679411,0.14714326846918,-12.3310892087722,6.16e-35,5.969999999999999e-32
FBgn0264831,CR44039,36.8699810421011,-1.78294069216203,0.29059047253535697,0.21228404900503303,-8.39884438100085,4.51e-17,1.07e-14
FBgn0261054,Sfp24Bc,317.45455768596,-1.76728626280294,0.293760787643831,0.140968546961978,-12.5367417121751,4.7e-36,5.32e-33
FBgn0259951,Sfp24Ba,1244.55659496568,-1.67695663363879,0.312741670673661,0.11271115339374901,-14.878355718537,4.56e-50,1.0299999999999998e-46
FBgn0038009,CG17738,61.400380634976905,-1.6726021036293401,0.31368705432493393,0.20344674958034303,-8.22132625406638,2.0099999999999999e-16,4.41e-14
FBgn0263412,CR43458,27.6455315093691,-1.60734584643808,0.328201594623586,0.20840724233820498,-7.7125239430483,1.23e-14,2.15e-12
FBgn0266949,CR45400,20.7152438268503,-1.58059156928588,0.33434476432556,0.207486916264662,-7.61778910083056,2.58e-14,4.219999999999999e-12
FBgn0051779,Acp24A4,3806.09992120944,-1.5680893089961498,0.33725475542627403,0.11286664780100301,-13.893292124356,6.96e-44,1.18e-40
FBgn0039184,CG6432,771.5162042747189,-1.54904319587996,0.341736630860812,0.11889069886942402,-13.029136935104198,8.35e-39,1.1300000000000001e-35
FBgn0032265,CG18301,572.463249362804,-1.5476788492172,0.342059961676773,0.141591354063931,-10.9306027860881,8.23e-28,5.079999999999999e-25
FBgn0031464,Duox,372.44344519209096,-1.52164500735309,0.34828856025704896,0.129092070740087,-11.7872848318992,4.54e-32,3.85e-29
FBgn0032055,CG13091,5788.80676838807,-1.4873597563189798,0.356664675981258,0.131725555380352,-11.2913530865312,1.4499999999999998e-29,9.83e-27
FBgn0040256,Ugt86Dd,622.008048066387,-1.4459668207124499,0.367046100285249,0.146542081350405,-9.8672463731078,5.770000000000001e-23,2.18e-20
FBgn0005626,ple,2789.1236348287102,-1.39921055604965,0.379136548716872,0.12277248992458001,-11.3967759137995,4.34e-30,3.27e-27
FBgn0267678,CR46014,18.8047275422277,-1.38036955543968,0.38412038785713204,0.20655551381860898,-6.68280178011554,2.34e-11,2.65e-09
FBgn0263659,CR43650,312.9543569701,-1.37806955611633,0.38473325559252797,0.15530168603562697,-8.873500290268561,7.09e-19,1.85e-16
FBgn0038398,sxe2,620.264625386053,-1.3479316964883101,0.39285485736573206,0.124211112869721,-10.851941226080802,1.9500000000000002e-27,1.0600000000000001e-24
FBgn0032538,CG16885,3254.06922617539,-1.29780038919725,0.40674587239569393,0.12087574985203699,-10.736648093483401,6.849999999999999e-27,3.58e-24
FBgn0043792,CG30427,1540.59980260752,-1.2458344393889,0.42166394160476794,0.127712162956055,-9.75501792900948,1.7600000000000002e-22,6.27e-20
FBgn0038007,Cyp313a3,25.150410632222,-1.2407737692733798,0.4231456470704871,0.21067455835156304,-5.889528279930429,3.87e-09,3.19e-07
FBgn0262896,CG43251,453.59868640006204,-1.23089215646901,0.42605389448901104,0.15035066271475,-8.18680898536704,2.68e-16,5.6e-14
FBgn0030558,CG1461,1730.25597434276,-1.22054894399057,0.42911940765446405,0.12208606637140101,-9.99744672154073,1.56e-23,6.430000000000001e-21
